City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,The Valley,AI,18.217,-63.0578,78.8,83,40,13.8,scattered clouds
270,Hobyo,SO,5.3505,48.5268,79.43,79,61,11.01,broken clouds
271,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,82,75,11.5,broken clouds
272,Ahipara,NZ,-35.1667,173.1667,71.44,81,46,7.47,light rain
273,Acapulco,MX,16.8634,-99.8901,82.4,69,1,10.36,clear sky
274,El Alto,PE,-4.2714,-81.2147,70.92,73,58,8.88,broken clouds
275,Kahului,US,20.8947,-156.47,77.0,61,40,18.41,scattered clouds
276,Sisimiut,GL,66.9395,-53.6735,0.86,68,34,12.19,scattered clouds
277,Nome,US,64.5011,-165.4064,19.99,93,90,29.93,snow
278,Nadym,RU,65.5333,72.5167,-12.69,99,78,9.82,broken clouds
279,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.86,77,21,4.72,few clouds
280,Ampanihy,MG,-24.7,44.75,67.55,94,0,3.56,light rain
281,Ranong,TH,9.9658,98.6348,77.0,94,20,2.39,few clouds
282,Alamosa,US,37.4695,-105.87,59.0,17,1,3.13,clear sky
283,Novyy Urengoy,RU,66.0833,76.6333,-11.15,99,83,9.86,broken clouds
284,Hollister,US,36.8525,-121.4016,79.0,25,1,20.71,clear sky
285,Sistranda,NO,63.7256,8.834,41.0,87,75,8.05,broken clouds
286,Baza,ES,37.4907,-2.7726,48.99,74,83,9.04,broken clouds
287,Timmins,CA,48.4669,-81.3331,26.6,86,90,23.02,snow
288,Hofn,IS,64.2539,-15.2082,27.5,62,27,10.11,scattered clouds
289,Oistins,BB,13.0667,-59.5333,78.8,69,40,21.85,scattered clouds
290,Trinidad,BO,-14.8333,-64.9,75.2,88,40,2.68,scattered clouds
291,Ossora,RU,59.2353,163.0719,15.73,65,38,3.38,scattered clouds
292,Constitucion,CL,-35.3333,-72.4167,57.15,68,0,0.31,clear sky
293,Berlevag,NO,70.8578,29.0864,30.76,79,74,12.03,broken clouds
294,Zaozerne,UA,45.1582,33.2787,45.0,67,45,16.37,scattered clouds
295,Ploemeur,FR,47.7333,-3.4333,46.99,93,90,3.44,fog
296,Dicabisagan,PH,17.0818,122.4157,81.19,76,85,3.4,overcast clouds
297,Norman Wells,CA,65.282,-126.8329,-0.4,55,75,19.57,broken clouds
298,Marystown,CA,47.1666,-55.1483,23.02,79,55,4.88,broken clouds
299,Nishihara,JP,26.1842,127.7558,73.4,94,75,3.67,mist
300,Fagernes,NO,60.9858,9.2324,29.61,97,92,3.22,overcast clouds
301,Byron Bay,AU,-28.65,153.6167,75.2,69,40,8.05,scattered clouds
302,Mabaruma,GY,8.2,-59.7833,73.15,98,77,5.14,broken clouds
303,Sarangani,PH,5.4033,125.4636,80.78,76,99,2.84,overcast clouds
304,Goderich,CA,43.7501,-81.7165,35.6,87,100,21.85,overcast clouds
305,Najran,SA,17.4924,44.1277,71.6,26,1,5.75,dust
306,Makokou,GA,0.5738,12.8642,69.84,98,42,2.91,moderate rain
307,Bozoum,CF,6.3193,16.3799,72.45,72,54,3.44,broken clouds
308,Chapais,CA,49.7834,-74.8492,30.2,93,90,10.36,light snow
309,Port Elizabeth,ZA,-33.918,25.5701,64.4,77,0,16.11,clear sky
310,Batagay,RU,67.6333,134.6333,6.28,93,100,2.26,overcast clouds
311,Tsabong,BW,-26.0217,22.401,70.12,23,1,7.4,clear sky
312,Pangnirtung,CA,66.1451,-65.7125,-0.76,96,100,2.55,overcast clouds
313,Nouadhibou,MR,20.931,-17.0347,64.4,88,0,14.97,clear sky
314,Bolshaya Glushitsa,RU,50.2406,43.5908,27.0,91,74,1.99,broken clouds
315,Bodden Town,KY,19.2833,-81.25,82.4,74,20,10.36,few clouds
316,Fairbanks,US,64.8378,-147.7164,21.0,42,40,6.91,scattered clouds
317,Ust-Kuyga,RU,70.0167,135.6,8.47,94,100,4.94,overcast clouds
318,Koumac,NC,-20.5667,164.2833,84.11,66,43,7.7,scattered clouds
319,Alihe,CN,50.5667,123.7167,34.95,98,100,4.68,light snow
320,Honiara,SB,-9.4333,159.95,88.07,59,26,6.51,scattered clouds
321,Miyako,JP,39.6367,141.9525,53.98,96,100,7.9,overcast clouds
322,Rocha,UY,-34.4833,-54.3333,61.72,95,77,3.85,broken clouds
323,Pangai,TO,-19.8,-174.35,86.0,74,20,18.41,few clouds
324,Isangel,VU,-19.55,169.2667,84.2,79,40,8.05,scattered clouds
325,San Cristobal,VE,7.7669,-72.225,68.27,84,89,2.91,overcast clouds
326,Obo,CF,5.3998,26.4869,72.63,43,30,3.76,scattered clouds
327,Akrini,GR,40.4333,21.9,54.0,50,11,8.05,few clouds
328,Krasnogorsk,RU,55.8225,37.3181,33.8,74,0,6.71,clear sky
329,Kampot,KH,10.6167,104.1833,77.0,94,40,1.14,scattered clouds
330,Greenfield,US,42.9614,-88.0126,41.0,38,1,14.97,clear sky
331,Trairi,BR,-3.2778,-39.2689,76.37,84,4,3.06,clear sky
332,Gayny,RU,60.3071,54.3241,28.89,94,100,7.29,overcast clouds
333,Corum,TR,40.5,34.75,36.19,69,8,2.48,clear sky
334,Buritis,BR,-15.6178,-46.4233,72.81,53,32,2.17,scattered clouds
335,Ichhawar,IN,23.0167,77.0167,68.0,45,5,4.61,clear sky
336,Bato,PH,13.3528,123.3677,80.67,78,100,2.26,overcast clouds
337,Greencastle,US,39.6445,-86.8647,45.0,56,90,13.8,overcast clouds
338,Zeerust,ZA,-25.5369,26.0751,64.4,77,55,16.11,broken clouds
339,Stokmarknes,NO,68.5646,14.9108,35.24,71,100,8.37,overcast clouds
340,Filadelfia,US,39.9523,-75.1638,57.2,88,90,11.5,mist
341,Dzerzhinsk,RU,56.2389,43.4631,19.4,79,0,3.96,clear sky
342,Pachino,IT,36.7186,15.0907,42.8,100,0,3.44,clear sky
343,Kodiak,US,57.79,-152.4072,44.6,57,1,14.97,clear sky
344,Kirakira,SB,-10.4544,161.9205,86.63,65,61,5.53,moderate rain
345,Barreiras,BR,-12.1528,-44.99,79.39,39,79,1.21,broken clouds
346,Mecca,SA,21.4267,39.8261,73.11,58,0,5.48,clear sky
347,Kitimat,CA,54.0524,-128.6534,41.0,52,75,13.8,light snow
